adapta-gtk-theme 3.95.0.11-3
alacritty 0.15.1-1
alsa-utils 1.2.13-2
arc-solid-gtk-theme 20221218-2
ark 24.12.3-1
atool 0.39.0-10
autotiling 1.9.3-3
awesome-terminal-fonts 1.1.0-5
base 3-2
base-devel 1-2
bat 0.25.0-4
betterlockscreen 4.4.0-1
blueman 2.4.4-1
brave-bin 1:1.76.80-1
brightnessctl 0.5.1-3
broot 1.45.0-2
browsh-bin 1.8.2-1
btop 1.4.0-5
btrfs-progs 6.13-1
bumblebee-status 2.2.0-1
chafa 1.14.5-1
clang 19.1.7-1
clipmenu 6.2.0-3
cmatrix 2.0-3
colordiff 1.0.21-2
cowsay 3.8.4-1
dex 0.9.0-2
diff-so-fancy 1.4.4-2
dmenu 5.3-3
dunst 1.12.2-1
eog 47.0-1
eza 0.20.24-1
fd 10.2.0-1
feh 3.10.3-1
ffmpegthumbnailer 2.2.3-3
file-roller 44.5-1
firefox 136.0.2-1
fish 4.0.1-2
flameshot 12.1.0-5
flatpak 1:1.16.0-1
freedownloadmanager 6.26.0.6142-2
fzf 0.60.3-1
gcr 3.41.2-2
geany 2.0-1
gedit 48.1-3
geoclue 2.7.2-1
ghostscript 10.05.0-1
git 2.49.0-1
github-cli 2.69.0-1
gnome-epub-thumbnailer 1.8-1
gparted 1.7.0-1
graphicsmagick 1.3.45-3
greetd 0.10.3-1
greetd-tuigreet 0.9.1-1
grim 1.4.1-3
grub 2:2.12.r226.g56ccc5ed-1
gst-plugin-pipewire 1:1.4.1-1
gum 0.16.0-1
gvfs-google 1.57.2-1
gvfs-gphoto2 1.57.2-1
hexyl 0.16.0-1
htop 3.4.0-1
i3-wm 4.24-1
i3blocks 1.5-4
i3status 2.15-1
inetutils 2.5-1
intel-media-driver 25.1.3-1
intel-ucode 20250211-1
iwd 3.4-1
lazygit 0.48.0-1
lf 34-1
libpulse 17.0+r43+g3e2bb8a1e-1
libva-intel-driver 2.4.1-3
lightdm 1:1.32.0-6
lightdm-gtk-greeter 1:2.0.9-1
lightdm-gtk-greeter-settings 1.2.3-3
lightdm-slick-greeter 2.0.9-1
lightdm-webkit-theme-aether 2.2.2-1
lightdm-webkit2-greeter 2.2.5-8
linux 6.13.7.arch1-1
linux-firmware 20250311.b69d4b74-3
lolcat 100.0.1-3
